full_name,age,season,position,Current_Club,minutes_played_overall,minutes_played_home,minutes_played_away,goals_overall,goals_home,goals_away,goals_per_90_overall,goals_per_90_home,goals_per_90_away
Chris Löwe,33,2018/2019,Defender,Huddersfield Town,2056,932,1124,0,0,0,0,0,0
Chris Mepham,24,2018/2019,Defender,AFC Bournemouth,849,436,413,0,0,0,0,0,0
Chris Smalling,32,2018/2019,Defender,Manchester United,2128,1138,990,1,0,1,0.04,0,0.09
Chris Wood,30,2018/2019,Forward,Burnley,2582,1330,1252,10,4,6,0.35,0.27,0.43
Christian Atsu Twasam,30,2018/2019,Midfielder,Newcastle United,1487,710,777,1,1,0,0.06,0.13,0
Christian Benteke,31,2018/2019,Forward,Crystal Palace,813,526,287,1,0,1,0.11,0,0.31
Christian Eriksen,30,2018/2019,Midfielder,Tottenham Hotspur,2772,1457,1315,8,6,2,0.26,0.37,0.14
Christian Fuchs,36,2018/2019,Defender,Leicester City,206,90,116,0,0,0,0,0,0
Christian Kabasele,31,2018/2019,Defender,Watford,1587,957,630,0,0,0,0,0,0
Christopher Schindler,32,2018/2019,Defender,Huddersfield Town,3262,1642,1620,1,0,1,0.03,0,0.06
Ciaran Clark,33,2018/2019,Defender,Newcastle United,857,416,441,3,1,2,0.32,0.22,0.41
Claudio Bravo,39,2018/2019,Goalkeeper,Manchester City,0,0,0,0,0,0,0,0,0
Collin Quaner,31,2018/2019,Forward,Huddersfield Town,37,9,28,0,0,0,0,0,0
Connor Wickham,29,2018/2019,Forward,Crystal Palace,61,49,12,0,0,0,0,0,0
Conor Coady,29,2018/2019,Midfielder,Wolverhampton Wanderers,3420,1710,1710,0,0,0,0,0,0
Conor Coventry,22,2018/2019,Midfielder,West Ham United,0,0,0,0,0,0,0,0,0
Craig Cathcart,33,2018/2019,Defender,Watford,3099,1561,1538,3,1,2,0.09,0.06,0.12
Curtis Jones,21,2018/2019,Midfielder,Liverpool,0,0,0,0,0,0,0,0,0
Cyrus Christie,30,2018/2019,Defender,Fulham,1943,1053,890,0,0,0,0,0,0
Dale Stephens,33,2018/2019,Midfielder,Brighton & Hove Albion,2487,1191,1296,1,0,1,0.04,0,0.07
Dan Burn,30,2018/2019,Defender,Brighton & Hove Albion,0,0,0,0,0,0,0,0,0
Dan Gosling,32,2018/2019,Midfielder,AFC Bournemouth,1737,911,826,2,0,2,0.1,0,0.22
Daniel Amartey,27,2018/2019,Midfielder,Leicester City,640,307,333,0,0,0,0,0,0
Daniel Sturridge,33,2018/2019,Forward,Liverpool,496,152,344,2,1,1,0.36,0.59,0.26
Daniel Williams,33,2018/2019,Midfielder,Huddersfield Town,93,13,80,0,0,0,0,0,0
Danilo,31,2018/2019,Defender,Manchester City,806,450,356,1,0,1,0.11,0,0.25
Danny Drinkwater,32,2018/2019,Midfielder,Chelsea,0,0,0,0,0,0,0,0,0
Danny Ings,30,2018/2019,Forward,Southampton,1668,922,746,7,3,4,0.38,0.29,0.48
Danny Rose,32,2018/2019,Defender,Tottenham Hotspur,1806,969,837,0,0,0,0,0,0
Danny Simpson,35,2018/2019,Defender,Leicester City,291,26,265,0,0,0,0,0,0
Danny Ward,29,2018/2019,Goalkeeper,Leicester City,0,0,0,0,0,0,0,0,0
Danny Ward,31,2018/2019,Forward,Cardiff City,440,246,194,1,1,0,0.2,0.37,0
Danny Welbeck,31,2018/2019,Forward,Arsenal,147,47,100,1,1,0,0.61,1.91,0
Daryl Janmaat,33,2018/2019,Defender,Watford,1521,836,685,0,0,0,0,0,0
David Brooks,25,2018/2019,Forward,AFC Bournemouth,2278,1289,989,7,4,3,0.28,0.28,0.27
David Button,33,2018/2019,Goalkeeper,Brighton & Hove Albion,360,180,180,0,0,0,0,0,0
David de Gea,31,2018/2019,Goalkeeper,Manchester United,3420,1710,1710,0,0,0,0,0,0
David Junior Hoilett,32,2018/2019,Forward,Cardiff City,2142,1008,1134,3,2,1,0.13,0.18,0.08
David Luiz,35,2018/2019,Defender,Chelsea,3239,1709,1530,3,3,0,0.08,0.16,0
David Silva,36,2018/2019,Midfielder,Manchester City,2411,1088,1323,6,4,2,0.22,0.33,0.14
Davide Zappacosta,30,2018/2019,Defender,Chelsea,125,35,90,0,0,0,0,0,0
Davinson Sánchez,26,2018/2019,Defender,Tottenham Hotspur,1943,873,1070,1,1,0,0.05,0.1,0
Davy Pröpper,31,2018/2019,Midfielder,Brighton & Hove Albion,2551,1371,1180,1,0,1,0.04,0,0.08
DeAndre Yedlin,29,2018/2019,Defender,Newcastle United,2475,1313,1162,1,0,1,0.04,0,0.08
Declan Rice,23,2018/2019,Midfielder,West Ham United,3005,1440,1565,2,2,0,0.06,0.13,0
Dejan Lovren,33,2018/2019,Defender,Liverpool,985,540,445,1,1,0,0.09,0.17,0
Dele Alli,26,2018/2019,Midfielder,Tottenham Hotspur,1827,755,1072,5,1,4,0.25,0.12,0.34
Demarai Gray,26,2018/2019,Midfielder,Leicester City,1992,1069,923,4,1,3,0.18,0.08,0.29
Demeaco Duhaney,24,2018/2019,Defender,Huddersfield Town,46,46,0,0,0,0,0,0,0
